altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P003,0,0.262846,0.324275,2654,5,asage,498.5140619
P003,0,1.11043,1.99388,1818,5,asage,1521.575952
P003,0,0.0202851,1.2004,2486,26,asage,794.5370949
P003,0,1.98422,1.17694,2023,19,asage,4271.040534
P003,0,0.320958,0.265901,1766,3,asage,1385.205508
P003,0,1.33242,1.94313,2296,2,asage,3879.921763
P003,0,1.37571,1.92674,1882,11,asage,1533.489226
P003,0,1.79388,1.60808,2196,18,asage,3834.599826
P003,0,0.083304,0.600415,1929,23,asage,9639.826019
P003,0,1.85573,1.51742,2034,15,asage,1945.652877
P003,0,0.0909352,1.41665,2269,19,asage,1719.11848
P003,0,0.0221975,1.20953,2242,18,asage,4536.632866
P003,0,0.721942,1.96056,1871,11,asage,4757.273968
P003,0,1.9778,0.790471,2182,27,asage,778.3121921
P003,0,1.85109,0.474978,1808,6,asage,7224.993153
P003,0,0.114168,0.535993,1847,17,asage,1656.920986
P003,0,1.99312,0.882932,1808,9,asage,7904.75736
P003,0,1.89443,1.44721,1812,12,asage,7477.486825
P003,0,1.49614,1.86824,1818,7,asage,1166.939475
P003,0,1.79436,0.39255,2289,9,asage,2720.906591
P003,0,1.76753,0.358986,2207,13,asage,1374.582093
P003,0,1.88658,1.46257,1968,13,asage,3298.018564
P003,0,0.0419022,0.713559,1821,4,asage,2496.288756
P003,0,1.8508,0.474507,2069,30,asage,6496.709818
P003,0,0.408636,0.193595,2188,13,asage,4556.17192
P003,0,0.0206333,1.20209,2149,12,asage,275.8079146
P003,0,0.215954,1.6207,1816,7,asage,1507.88535
P003,0,1.0802,0.00322127,1852,8,asage,1769.253517
P003,0,1.80418,0.405609,1824,6,asage,919.6568524
P003,0,0.128692,1.49074,2155,16,asage,2382.452401
P003,0,1.36894,1.92945,2443,7,asage,2836.025166
P003,0,0.219662,1.62536,2077,6,asage,545.4672719
P003,0,1.26593,0.0360074,2414,17,asage,1454.913901
P003,0,0.144006,0.483014,1811,5,asage,7958.116566
P003,0,1.80297,1.59602,1887,11,asage,2357.023535
P003,0,0.0147883,1.17134,1897,18,asage,6662.574907
P003,0,1.99963,0.972983,1862,11,asage,2949.548898
P003,0,0.00779074,1.12458,1884,22,asage,2777.081859
P003,0,0.332455,1.74457,2191,13,asage,1092.753561
P003,0,0.85715,1.98974,1890,16,asage,7746.004415
P003,0,0.869392,0.0085659,1941,28,asage,6580.14829
P003,0,1.28882,0.0426164,1930,13,asage,5515.865228
P003,0,1,0,1802,11,asage,2997.411507
P003,0,0.222755,0.370802,1793,4,asage,4146.879258
P003,0,0.96827,0.00050354,1974,18,asage,3949.803649
P003,0,0.148888,0.475015,1923,7,asage,3309.643925
P003,0,1.89443,0.552786,2595,25,asage,6369.255832
P003,0,0.718556,1.95958,2024,6,asage,1800.807449
P003,0,0.955599,0.000986218,2390,17,asage,3583.902339
P003,0,0.33766,0.250796,2550,33,asage,2546.148694
P003,0,1.39392,0.080855,2112,13,asage,998.8826139
P003,0,0.300108,0.285751,1924,10,asage,1081.818649
P003,0,0.498282,0.134969,2187,17,asage,762.8037091
P003,0,1.9741,1.22613,1744,3,asage,5307.546531
P003,0,0.678572,1.94693,2490,24,asage,1976.180316
P003,0,1.26846,1.96329,2155,18,asage,858.9467325
P003,0,0.615385,1.92308,2213,11,asage,1833.868657
P003,0,1.19777,0.0197514,2521,22,asage,1859.045556
P003,0,1.10579,1.99439,1883,16,asage,3270.81547
P003,0,0.0479715,0.693991,1844,9,asage,1592.36392
P003,0,0.943273,0.00161028,1809,6,asage,5531.415473
P003,0,1.24988,1.96828,1857,5,asage,1361.161863
P003,0,1.77523,1.63167,1803,7,asage,5327.205012
P003,0,0.232248,1.64075,1847,13,asage,1958.818448
P003,0,0.0211412,1.20454,2292,18,asage,3161.12443
P003,0,0.386059,0.210648,1748,4,asage,3786.850087
P003,0,1.19612,0.0194193,1908,23,asage,4503.766221
P003,0,1.45812,1.88889,2268,11,asage,4500.299194
P003,0,0.134574,0.498964,1985,20,asage,3079.332308
P003,0,1.89838,1.43921,1795,3,asage,4707.834845
P003,0,0.283021,1.69709,2096,15,asage,582.8518071
P003,0,1.58124,1.81373,2192,21,asage,2800.817377
P004,0,1.40364,1.91492,1833,9,asage,2431.744364
P004,0,0.403676,1.80274,2405,22,asage,3214.785346
P004,0,1.39517,0.0813909,2013,15,asage,5658.089578
P004,0,0.109026,0.545946,2178,17,asage,3266.829811
P004,0,0.137302,0.494281,1758,6,asage,5717.288668
P004,0,0.4453,1.83205,2461,25,asage,939.7434248
P004,0,1.98081,1.19498,2596,10,asage,1922.086407
P004,0,0.0173383,0.814592,1816,5,asage,2540.070318
P004,0,1.69938,0.285249,2130,11,asage,2003.315107
P004,0,1.63571,1.77193,2208,23,asage,1139.274499
P004,0,0.853451,0.0107965,1794,15,asage,4538.034673
P004,0,1.83904,0.455934,2539,8,asage,7768.252135
P004,0,0.867836,1.99123,2266,17,asage,3889.321408
P004,0,0.302645,1.71673,1759,7,asage,1609.875288
P004,0,0.0127589,0.840768,1750,5,asage,1829.024353
P004,0,0.228404,1.63611,2156,7,asage,3533.508621
P004,0,1.73106,1.68232,2190,15,asage,572.5754221
P004,0,0.316576,1.73002,2336,13,asage,1418.550169
P004,0,1.97946,1.20165,2181,11,asage,1368.621108
P004,0,0.451974,0.163539,2228,21,asage,666.1854311
P004,0,1.44721,1.89443,2144,15,asage,856.1731617
P004,0,1.4258,0.0951813,2287,13,asage,835.719619
P004,0,1.94868,1.31623,2558,25,asage,5961.715449
P004,0,0.0100505,1.14142,1906,17,asage,3558.637931
P004,0,1.48752,0.12689,2594,10,asage,1442.473851
P004,0,0.688692,0.049691,1780,3,asage,3569.689616
P004,0,0.936029,0.00204825,2091,21,asage,921.1788972
P004,0,1.79861,1.60185,1820,5,asage,895.6310187
P004,0,1.67572,0.262846,2050,13,asage,537.186867
P004,0,0.21772,0.377073,1846,10,asage,1582.955517
P004,0,1,0,1818,5,asage,2695.338008
P004,0,1.25336,0.0326278,2210,19,asage,1489.956777
P004,0,0.972983,1.99963,1826,4,asage,2549.198642
P004,0,1.82872,0.440342,2080,10,asage,592.2830523
P004,0,1.70985,1.70435,1880,12,asage,2816.119331
P004,0,1.35765,0.0661433,2332,17,asage,3372.633045
P004,0,1.93979,0.658257,1792,4,asage,1697.583185
P004,0,1.51023,0.139963,2472,9,asage,1706.087394
P004,0,0.500278,0.133814,2114,26,asage,443.6629265
P004,0,1.79804,1.6026,1815,5,asage,2729.32108
P004,0,0.950556,0.00122315,2150,21,asage,522.1352046
P004,0,0.73037,1.96296,1830,4,asage,4048.665663
P004,0,1.98515,0.828324,2147,10,asage,745.5114753
P004,0,1.99326,0.884119,2423,18,asage,1452.411695
P004,0,1.95038,0.688917,1923,27,asage,517.1428773
P004,0,1.90546,1.42443,1772,12,asage,1336.603567
P004,0,1.48564,0.125843,2264,15,asage,2697.821172
P004,0,0.196443,1.59523,1824,5,asage,3874.88569
P004,0,1.27282,1.96206,1780,7,asage,2379.72226
P004,0,1.94386,0.66965,2179,16,asage,607.639659
P004,0,1.69466,1.71934,1717,1,asage,6793.005016
P004,0,0.0997157,0.564698,1962,13,asage,4146.889027
P005,0,0.470463,1.84829,2021,10,asage,3804.532739
P005,0,0.768647,0.0271302,2219,19,asage,3044.920556
P005,0,0.364292,1.77193,2556,30,asage,2500.233643
P005,0,0.0715233,0.628609,2063,28,asage,771.5188148
P005,0,0.777175,0.0251415,2027,21,asage,1044.151903
P005,0,1.98902,1.14778,1843,4,asage,2897.386877
P005,0,1.70711,1.70711,2366,24,asage,3510.262061
P005,0,1.67375,1.73896,2344,17,asage,3688.297803
P005,0,0.926128,0.00273222,2339,18,asage,3988.483952
P005,0,0.830093,1.98546,1793,17,asage,6039.757304
P005,0,0.789803,0.0223409,2335,26,asage,4018.056158
P005,0,1.57993,1.81467,1829,4,asage,1794.499223
P005,0,1.74524,1.66679,1983,18,asage,4191.759044
P005,0,1.9741,1.22613,1803,6,asage,2780.449843
P005,0,1.39761,0.0824444,2193,14,asage,2085.998973
P005,0,1.94765,1.31932,2144,10,asage,552.2435279
P005,0,1.25242,0.0323827,1982,24,asage,3646.666301
P005,0,1.43243,0.0983334,1995,28,asage,293.4888226
P005,0,0.0475758,1.30478,2206,12,asage,1225.621404
P005,0,0.56927,0.0975189,2167,27,asage,419.5831321
P005,0,0.100765,0.562534,2244,13,asage,2014.664616
