altid,used,cos_aspect,sin_aspect,elevation,slope,veg_class,dist_to_water
P013,0,0.345848,1.75636,1926,13,asage,228.5168821
P013,0,1.31433,0.0506857,2394,12,asage,442.0951225
P013,0,1.901,0.566184,2064,11,asage,248.3569125
P013,0,1.23116,0.0270836,1917,2,asage,125.5041603
P013,0,0.959629,1.99918,1935,18,asage,1184.297778
P013,0,1.86378,0.496129,1901,12,asage,153.435763
P013,0,1.99565,1.09316,2130,21,asage,1421.975177
P013,0,1.0596,1.99822,1912,6,asage,141.5737465
P013,0,1.42948,0.0969251,2502,1,asage,345.7994758
P013,0,1.44721,1.89443,1897,5,asage,873.3128216
P013,0,0.358861,0.232575,1943,4,asage,295.7722316
P013,0,0.17692,0.432075,2033,8,asage,675.6993809
P013,0,1.07909,1.99687,2070,1,asage,543.9241173
P013,0,1.02272,0.000258148,1922,3,asage,757.8602044
P013,0,0.875965,1.99228,2001,21,asage,513.1336099
P013,0,1.69466,1.71934,1965,2,asage,857.9220643
P013,0,0.43079,0.177808,2041,25,asage,1133.581602
P013,0,1.99145,1.13045,1948,8,asage,589.2593153
P013,0,1.47733,0.121277,1836,11,asage,961.1192508
P024,0,1.54325,0.16043,2085,14,asage,653.8797197
P024,0,1.43903,1.89847,1931,4,asage,762.2811482
P024,0,0.217543,1.6227,2066,4,asage,540.8437814
P024,0,1.93463,1.35562,1989,6,asage,1636.57976
P024,0,1.11684,0.00684941,2076,12,asage,1199.337488
P024,0,0.000130057,1.01613,1845,16,asage,397.7253949
P024,0,1.75669,0.346223,1989,3,asage,783.4248632
P024,0,0.017868,1.18819,1954,5,asage,244.8642502
P024,0,0.543322,0.110368,2003,5,asage,555.8053086
P024,0,1.99975,1.02222,2043,4,asage,793.5366365
P024,0,0.562361,0.100849,2044,9,asage,1183.711618
P024,0,1.45342,0.108704,2227,5,asage,269.4675368
P024,0,1.94868,1.31623,1867,5,asage,138.6180362
P024,0,0.780488,0.0243903,1905,12,asage,202.4161442
P024,0,1.58377,0.188084,2158,17,asage,478.3701433
P024,0,1.19612,1.98058,1939,20,asage,448.148626
P024,0,0.179214,0.428764,1928,3,asage,345.0508067
P024,0,0.460334,0.158121,1934,9,asage,146.7085669
P024,0,0.750959,1.96849,1956,6,asage,582.2017909
P024,0,1.95448,1.29827,2075,7,asage,321.4495256
P024,0,1.69466,1.71934,1855,0,asage,681.2332571
P024,0,1.98058,0.803884,1915,12,asage,742.292578
P024,0,1.69466,1.71934,1936,1,asage,343.4411887
P024,0,0.978266,0.000236213,1904,11,asage,305.7511519
P024,0,0.212944,1.61688,1966,6,asage,358.7197897
P024,0,0,1,2013,10,asage,191.0994131
P024,0,1.50387,1.86378,2342,25,asage,1138.120524
P024,0,1.29277,1.95618,1931,4,asage,394.1136865
P024,0,1.69466,1.71934,1951,0,asage,125.649987
P024,0,1.69466,1.71934,1809,1,asage,794.8490162
P024,0,1.76269,0.353238,1934,8,asage,1735.424653
P024,0,1.63474,0.227274,2038,14,asage,260.8912101
P024,0,1.99793,0.935618,2075,11,asage,2002.94544
P024,0,0.668137,0.0566724,2083,11,asage,1358.919312
P024,0,0.312255,0.274047,1813,3,asage,29.86415997
P024,0,0.298572,1.71274,1865,14,asage,257.1962927
P024,0,0.0464174,0.698869,1892,11,asage,496.2064288
P024,0,0.968169,0.000506759,1966,3,asage,480.4555744
P024,0,0.104306,0.555329,1960,4,asage,929.1735163
P024,0,1.73849,0.325731,1934,13,asage,642.2973891
P024,0,1.87971,0.524483,2073,20,asage,947.7103458
P024,0,0.0715233,0.628609,1826,25,asage,231.1452288
P024,0,1.00633,1.99998,1827,16,asage,1589.576503
P024,0,1.76669,1.64202,2119,25,asage,515.8150392
P024,0,0.528208,1.88171,1977,6,asage,815.7230509
P024,0,1.17994,0.0163226,1980,10,asage,863.1307575
P024,0,0.00890177,0.866867,1895,6,asage,772.6621703
P024,0,0.976385,0.00027889,1954,8,asage,410.2625182
P024,0,0.464175,1.84433,1958,2,asage,280.1465085
P024,0,1.99139,0.869062,1983,9,asage,1323.074798
P024,0,1.62595,0.220133,2177,11,asage,1872.666242
P024,0,1.60943,1.79284,1998,3,asage,553.3871061
P024,0,1.33429,1.94247,1979,6,asage,363.2497733
P024,0,1.99589,0.909464,1915,3,asage,164.6880236
P024,0,1.12073,0.00731486,1951,5,asage,315.6752525
P024,0,1.68019,0.266961,2256,18,asage,1060.447439
P024,0,0.275,1.68875,1893,7,asage,710.034967
P052,0,1.69466,1.71934,1981,1,asage,340.628801
P052,0,1.82219,0.43079,2150,10,asage,606.7923103
P052,0,0.361982,1.77002,1920,18,asage,238.6985705
P052,0,1.66679,1.74524,1986,3,asage,1656.320979
P052,0,0.703279,1.95496,1943,7,asage,409.088207
P052,0,1.42837,0.0963985,1918,10,asage,169.1300648
P052,0,1.70207,1.7121,2507,10,asage,163.8892376
P052,0,1.247,1.96901,1982,9,asage,251.1264375
P052,0,0.696411,0.047197,1941,3,asage,557.0705525
P052,0,0.181911,0.424908,1943,2,asage,681.560283
P052,0,1.16275,0.0133325,1998,21,asage,928.0211408
P052,0,1.92848,1.37139,1885,5,asage,802.0064679
P052,0,0.152002,0.470001,2014,14,asage,660.0643739
P052,0,0.953409,1.99891,1931,4,asage,140.1808639
P052,0,1.36385,0.0685427,2180,10,asage,1929.45196
P052,0,1.69466,1.71934,1965,1,asage,718.7175614
P052,0,1.76476,1.64432,1907,2,asage,201.5878449
P052,0,1.33035,0.0561417,1996,16,asage,448.8104237
P052,0,0.312563,0.273756,1927,1,asage,434.9610821
P052,0,0.33629,1.74799,1986,2,asage,827.4529902
P052,0,1.98744,1.15799,2086,9,asage,490.5892909
P052,0,1.74594,1.66602,1882,23,asage,329.6466121
P052,0,1.70711,0.292893,1984,5,asage,596.4319048
P052,0,0.226043,0.366762,2065,12,asage,478.6650907
P052,0,1.70711,0.292893,1865,8,asage,813.7036089
P052,0,0.00148427,1.05446,2084,11,asage,2199.066992
P052,0,1.96985,1.24371,1965,7,asage,286.3093423
P021,0,1.17177,1.98514,1942,11,asage,105.4505334
P021,0,1.70711,1.70711,2017,25,asage,826.1081395
P021,0,1.99083,1.13511,2082,21,asage,655.8699527
P021,0,1.07754,1.99699,1899,6,asage,53.89714317
P021,0,1.86853,1.49563,1989,10,asage,459.7954275
P021,0,1.32432,0.054054,1963,19,asage,1361.025356
P021,0,0.0647137,1.35389,1856,15,asage,467.5767029
P021,0,0.451804,1.83635,1949,2,asage,207.6097811
P021,0,1.96449,1.26413,2113,7,asage,382.9817277
P021,0,1.73976,0.327131,2022,7,asage,1096.834107
P021,0,1.69466,1.71934,1851,1,asage,841.4768864
P021,0,1.78445,0.379812,1997,8,asage,335.360989
P021,0,0.849558,0.0113811,1857,8,asage,736.0247821
P021,0,0.0346366,1.26091,2097,5,asage,766.8287831
P021,0,1.74013,1.67247,1952,9,asage,234.0545423
P021,0,1.69466,1.71934,1868,0,asage,1899.674904
P021,0,1.95286,1.3034,1928,4,asage,114.0675253
P021,0,1.99991,0.986593,2024,17,asage,401.5040512
P021,0,1.69466,1.71934,1955,1,asage,695.9120104
P021,0,1.97014,0.757464,2208,23,asage,384.0960524
P021,0,1.62603,0.220204,2000,20,asage,532.7890231
P021,0,1.93583,1.35246,2028,3,asage,277.0390425
P021,0,1.69466,1.71934,1826,0,asage,872.1122391
P021,0,0.00505358,0.899592,1986,18,asage,111.3186088
P021,0,1.93158,1.36354,1931,2,asage,402.4686171
P021,0,1.99606,0.91133,2025,7,asage,694.0096679
P021,0,0.847943,1.98837,1891,7,asage,295.5248635
P021,0,0.939505,1.99817,2052,6,asage,1518.618712
P021,0,1.22026,1.97544,1965,12,asage,1239.058079
P021,0,0.217177,0.377756,1974,16,asage,768.0642775
P021,0,1.69466,1.71934,1939,0,asage,343.2202214
P021,0,0.40949,0.19297,2237,15,asage,558.4610632
P021,0,0.704316,0.0447142,1972,6,asage,372.7911634
P021,0,1.42701,1.90425,1978,8,asage,844.1117841
P021,0,0.835601,0.0136061,1994,4,asage,768.5992827
P021,0,1.79616,0.394917,2122,8,asage,702.3888455
